model,alert_rate,recall
Model: weather,0.44,0.8260448604163305
Model: weather,0.46,0.841858964014846
Model: weather,0.48000000000000004,0.8548491205421979
Model: weather,0.5,0.8681620138776828
Model: weather,0.52,0.878247539131838
Model: weather,0.54,0.8887364853961595
Model: weather,0.56,0.8968049055994837
Model: weather,0.5800000000000001,0.9055187994190738
Model: weather,0.6,0.912941746006132
Model: weather,0.62,0.9178634823301598
Model: weather,0.64,0.9250443763111182
Model: weather,0.66,0.9309343230595449
Model: weather,0.68,0.9370663224140713
Model: weather,0.7000000000000001,0.9433596901726642
Model: weather,0.7200000000000001,0.950298531547523
Model: weather,0.74,0.9564305309020493
Model: weather,0.76,0.9637727932870744
Model: weather,0.78,0.9710343714700662
Model: weather,0.8,0.9766015814103598
Model: weather,0.8200000000000001,0.9819267387445538
Model: weather,0.8400000000000001,0.9857995804421494
Model: weather,0.86,0.9891883169275456
Model: weather,0.88,0.992012263998709
Model: weather,0.9,0.9939486848475069
Model: weather,0.92,0.995320316282072
Model: weather,0.9400000000000001,0.9968533161207036
Model: weather,0.9600000000000001,0.9983863159593351
Model: weather,0.98,0.9987897369695014
Model: weather,1.0,1.0
Model: weather,,
Model: all,0.02,0.26238502501210265
Model: all,0.04,0.39769243182184927
Model: all,0.06,0.4808778441181217
Model: all,0.08,0.5448604163304825
Model: all,0.1,0.5901242536711312
Model: all,0.12000000000000001,0.6332096175568823
Model: all,0.13999999999999999,0.6655639825722124
Model: all,0.16,0.6965467161529773
Model: all,0.18,0.7237372922381797
Model: all,0.19999999999999998,0.749152815878651
Model: all,0.22,0.7697272873971276
Model: all,0.24,0.7904631273196708
Model: all,0.26,0.8079715991608843
Model: all,0.28,0.8250766499919315
Model: all,0.30000000000000004,0.8402452799741811
Model: all,0.32,0.8547684363401646
Model: all,0.34,0.8660642246248185
Model: all,0.36000000000000004,0.8780054865257383
Model: all,0.38,0.8888978538002259
Model: all,0.4,0.8972083266096498
Model: all,0.42000000000000004,0.9057608520251734
Model: all,0.44,0.9131031144101985
Model: all,0.46,0.9214135872196224
Model: all,0.48000000000000004,0.9278683233822818
Model: all,0.5,0.9334355333225755
Model: all,0.52,0.937631111828304
Model: all,0.54,0.9427142165563983
Model: all,0.56,0.9477973212844925
Model: all,0.5800000000000001,0.952315636598354
Model: all,0.6,0.9564305309020493
Model: all,0.62,0.9610295304179441
Model: all,0.64,0.9643375827013071
Model: all,0.66,0.96764563498467
Model: all,0.68,0.9699047926416008
Model: all,0.7000000000000001,0.9735355817330966
Model: all,0.7200000000000001,0.974987897369695
Model: all,0.74,0.977327739228659
Model: all,0.76,0.9807164757140552
Model: all,0.78,0.9831370017750525
Model: all,0.8,0.9864450540584153
Model: all,0.8200000000000001,0.9874939486848475
Model: all,0.8400000000000001,0.9901565273519445
Model: all,0.86,0.9908826851702437
Model: all,0.88,0.9932225270292077
Model: all,0.9,0.9941100532515733
Model: all,0.92,0.995965789898338
Model: all,0.9400000000000001,0.9967726319186703
Model: all,0.9600000000000001,0.9978215265451025
Model: all,0.98,0.9992738421817008
Model: all,1.0,1.0
Model: all,,
